id,value,context_factor_id,context_factor_value_id,thing_id,user_id,created_at,updated_at,id,title,description,type,image,indoorsLocation,display_title,active,id,title,display_title,active_in_training,active_in_prediction,id,title,display_title,description,context_factor_id,active_in_training,active_in_prediction
240,0,1,1,44,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-04 19:21:25.078000","2019-10-04 19:21:25.388000",44,"book vending machine",,BCN_I,book-vending-machine.jpg,1,"Book Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
245,0,1,1,62,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-04 19:21:25.078000","2019-10-04 19:21:25.388000",62,"trade show booth","One out of multiple booths at a trade show.",BCN_I,trade-show-booth.jpg,1,"Trade Show Booth",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
375,-1,1,1,13,3a4ded8ac1e74d82bdf22c6eea6fef59,"2019-10-11 06:19:56.272000","2019-10-11 06:19:56.272000",13,"photo booth",,BCN_I,photo-booth.jpg,1,"Photo Booth",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
424,-1,1,1,65,3a4ded8ac1e74d82bdf22c6eea6fef59,"2019-10-11 06:22:59.005000","2019-10-11 06:22:59.005000",65,"painting in a museum",,BCN_I,art-painting.jpg,1,"Painting at a Museum",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
444,-1,1,1,10,3a4ded8ac1e74d82bdf22c6eea6fef59,"2019-10-11 06:23:59.026000","2019-10-11 06:23:59.027000",10,"vending machine with food",,BCN_I,vending-machine-with-food.jpg,1,"Vending Machine with Food",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
486,1,1,1,24,f6b91c94308745c4a164750e9fbe12a7,"2019-10-11 12:58:35.796000","2019-10-11 12:58:35.796000",24,"public computer","Typically located in hotels, airports, …",BCN_I,public-computer.jpg,1,"Public Computer or Internet Terminal",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
498,-1,1,1,67,f6b91c94308745c4a164750e9fbe12a7,"2019-10-11 12:59:14.374000","2019-10-11 12:59:14.374000",67,"photography piece in a museum",,BCN_I,art-photography.jpg,1,"Photography at a Museum",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
501,0,1,1,37,f6b91c94308745c4a164750e9fbe12a7,"2019-10-11 12:59:37.766000","2019-10-11 12:59:37.767000",37,"your own bike",,BCN_I,own-bike.jpg,0,"Your Own Bike",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
522,-1,1,1,19,54cda182f51d4cd0b9e0f0fef5ddb5d1,"2019-10-11 13:00:37.144000","2019-10-11 13:00:37.144000",19,arcade,"Video games, pinball, air hockey, other coin-operated machines, …",BCN_I,arcade.jpg,1,Arcade,1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
527,-1,1,1,18,54cda182f51d4cd0b9e0f0fef5ddb5d1,"2019-10-11 13:01:21.917000","2019-10-11 13:01:21.917000",18,"phone charging station",,BCN_I,phone-charging-station.jpg,1,"Public Phone Charging Station",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
567,0,1,1,23,483d3900ecef4ccd92f170249a01b634,"2019-10-11 13:05:08.210000","2019-10-11 13:05:08.210000",23,"smart home control unit","Mounted screen somewhere in your home.",BCN_I,smart-home-control-unit.jpg,1,"Smart Home Control Unit",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
594,-1,1,1,64,f6b91c94308745c4a164750e9fbe12a7,"2019-10-11 13:06:14.904000","2019-10-11 13:06:14.905000",64,"multimedia device in a museum",,BCN_I,museum-multimedia.jpg,1,"Multimedia Device at a Museum",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
659,1,1,1,14,54cda182f51d4cd0b9e0f0fef5ddb5d1,"2019-10-11 13:07:58.689000","2019-10-11 13:07:58.689000",14,"coffee machine",,BCN_I,coffee-machine.jpg,1,"Coffee Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
661,-1,1,1,54,483d3900ecef4ccd92f170249a01b634,"2019-10-11 13:08:14.384000","2019-10-11 13:08:14.384000",54,"ice cream vending machine",,BCN_I,ice-cream-vending-machine.jpg,1,"Ice Cream Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
675,-1,1,1,64,54cda182f51d4cd0b9e0f0fef5ddb5d1,"2019-10-11 13:08:47.809000","2019-10-11 13:08:47.809000",64,"multimedia device in a museum",,BCN_I,museum-multimedia.jpg,1,"Multimedia Device at a Museum",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
696,-1,1,1,65,483d3900ecef4ccd92f170249a01b634,"2019-10-11 13:09:33.268000","2019-10-11 13:09:33.268000",65,"painting in a museum",,BCN_I,art-painting.jpg,1,"Painting at a Museum",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
709,0,1,1,53,483d3900ecef4ccd92f170249a01b634,"2019-10-11 13:09:55.811000","2019-10-11 13:09:55.812000",53,"equipment vending machine","Selling various pieces of equipment, such as bike tubes.",BCN_I,equipment-vending-machine.jpg,0,"Equipment Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
712,1,1,1,23,54cda182f51d4cd0b9e0f0fef5ddb5d1,"2019-10-11 13:10:03.020000","2019-10-11 13:10:03.021000",23,"smart home control unit","Mounted screen somewhere in your home.",BCN_I,smart-home-control-unit.jpg,1,"Smart Home Control Unit",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
727,-1,1,1,54,54cda182f51d4cd0b9e0f0fef5ddb5d1,"2019-10-11 13:10:54.190000","2019-10-11 13:10:54.190000",54,"ice cream vending machine",,BCN_I,ice-cream-vending-machine.jpg,1,"Ice Cream Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
755,-1,1,1,21,0c32137be8a146eaa3d3fd736519fbba,"2019-10-11 17:38:11.612000","2019-10-11 17:38:11.612000",21,"photo printer","Typically found in a supermarket, drugstore or similar.",BCN_I,photo-printer.jpg,1,"Photo Printing Station",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
